"","tract","total_population","rev","human_services1","education1","public1","religion1","oth1","arts1","health","total","ndi"
"353","178101",2684,131562,3,1,0,0,1,1,0,6,-0.0079
"354","178102",4569,111006,2,0,0,0,2,1,0,5,-0.0215
"355","178201",3288,163681,1,2,0,1,1,0,0,5,-0.0125
"356","178204",4828,0,0,0,0,1,0,0,0,1,0.0091
"357","178205",2103,19172,1,0,0,0,0,0,0,1,-0.0294
"358","178206",2839,19485,0,0,0,0,0,0,1,1,-0.034
"359","179101",3103,46600097,9,2,3,1,3,2,5,22,-0.0526
"360","179102",3047,44198643,3,3,6,1,7,3,3,20,-0.0589
"361","180102",3986,524691,3,2,0,2,2,0,0,9,-0.0273
"362","180103",3694,284712,6,2,1,2,3,1,0,14,-0.0207
"363","180104",2796,9926442,2,1,0,0,3,0,0,6,0.0184
"364","181100",6312,12841363,7,3,5,1,10,3,2,26,-0.0549
"365","181201",5699,9515013,6,7,0,0,1,2,2,18,-0.0331
"366","181203",3168,538498,2,1,1,0,2,0,1,6,-0.0458
"367","181204",5032,2329863,5,1,5,1,6,2,0,15,-0.0332
"368","182103",2497,269779,0,1,1,0,1,1,0,3,-0.0433
"369","182104",2542,0,1,0,0,0,1,0,0,2,-0.036
"370","182105",3603,145250,4,2,1,0,2,0,0,8,-0.0487
"371","182106",3055,20446,3,0,1,0,2,2,0,7,-0.0377
"372","183100",2931,4463288,2,5,0,2,0,3,1,13,-0.032
"373","183200",2370,2049091,3,2,1,0,1,3,1,10,-0.0664
"374","183300",4305,108718853,5,7,1,0,1,3,4,20,-0.0621
"375","183401",2149,1457857,2,3,0,2,0,1,1,9,-0.0433
"376","183402",1412,0,0,0,0,0,0,0,0,0,-0.0244
"377","183501",3269,46274393,6,4,3,2,4,6,1,23,-0.033
"378","183502",3540,2008375,4,2,1,0,2,1,0,9,-0.0362
"379","183603",1394,0,1,0,1,0,1,0,0,2,0.0227
"380","183604",2023,0,2,0,1,1,1,1,0,5,-0.0044
"381","183605",2734,525910751,0,4,2,2,2,5,6,19,-0.0376
"382","183606",1646,42808451,2,1,2,0,2,1,5,11,-0.0204
"383","184103",3954,0,0,1,2,1,2,0,2,6,-0.0597
"384","184104",1779,54547765,14,4,6,1,12,3,1,35,-0.0345
"385","184105",4691,155737,2,0,0,1,0,1,0,4,-0.0355
"386","184106",2303,140488,1,1,1,0,2,1,0,5,-0.0204
"387","184108",7369,432063,6,4,2,0,2,5,1,18,-0.0496
"388","185101",2596,0,1,0,1,0,2,1,0,4,-0.0069
"389","185102",2655,11776,0,3,1,0,1,0,1,5,-0.0153
"390","185103",2181,197775,4,1,2,2,4,1,1,13,-0.0111
"391","185104",3985,374087,2,4,1,0,3,0,1,10,-0.0369
"392","185201",1640,0,0,1,0,0,0,0,0,1,-0.0183
"393","185202",4954,0,1,2,1,0,1,0,0,4,-0.0096
"394","185203",3854,51269540,1,5,0,1,2,1,2,12,-0.0365
"395","186103",4169,5162521,9,3,4,0,5,0,0,17,-0.0486
"396","186104",2598,258451,2,1,1,0,1,1,0,5,-0.0347
"397","186105",3558,0,0,1,0,0,0,0,0,1,-0.0483
"398","186106",4940,4910066,9,2,8,2,10,4,0,27,-0.0138
"399","186107",5959,17127022,6,0,3,1,4,3,0,14,-0.0483
"400","186201",6002,18043531,2,0,3,0,4,1,2,9,-0.0389
"401","186202",4533,224241,2,0,1,0,1,1,0,4,-0.0527
"402","186203",3589,105836,3,0,0,0,0,0,2,5,-0.0454
"403","186205",5103,720239,3,1,2,0,2,1,0,7,-0.0431
"404","186206",4171,82293,1,0,0,0,2,1,2,6,-0.05
"405","187103",2785,777592,3,0,0,1,0,0,1,5,-0.0246
"406","187104",3251,0,0,0,0,1,0,1,1,3,-0.0455
"407","187105",3122,160224017,2,13,1,0,2,1,0,18,-0.0345
"408","187106",4115,260900,1,0,0,4,0,1,0,6,-0.03
"409","188103",3429,0,0,1,0,0,0,1,2,4,0.0088
"410","188104",1550,168779,1,0,0,1,0,0,0,2,0.0071
"411","188105",3544,5203108,0,1,1,0,1,0,1,3,0.0355
"412","188106",2405,270186,0,0,0,0,0,0,1,1,0.0151
